method,OnlineNewsPopularity ↓,bank-marketing ↑,churn ↑,credit ↑,house ↓,medical_charges ↓,wine ↑
CatBoost,1.0,1.0,2.0,1.0,3.0,5.0,1.0
Excel-plugins,7.0,2.0,1.0,2.0,5.0,5.0,3.0
FT-T,9.0,2.0,2.0,1.0,4.0,4.0,2.0
LightGBM,2.0,1.0,2.0,2.0,4.0,6.0,1.0
MLP,10.0,3.0,3.0,1.0,3.0,5.0,2.0
MLP-piecewiselinear,6.0,1.0,2.0,1.0,2.0,3.0,2.0
MNCA,11.0,1.0,2.0,1.0,2.0,2.0,1.0
MNCA-periodic,10.0,1.0,1.0,1.0,2.0,1.0,1.0
SAINT,7.0,2.0,2.0,1.0,5.0,4.0,2.0
T2G,9.0,2.0,1.0,1.0,4.0,3.0,2.0
TabR,12.0,1.0,2.0,1.0,2.0,4.0,1.0
TabR-periodic,9.0,1.0,1.0,2.0,2.0,2.0,2.0
XGBoost,2.0,1.0,1.0,2.0,4.0,7.0,1.0
retransformer-aux-periodic,9.0,1.0,2.0,3.0,4.0,3.0,2.0
retransformer-periodic,8.0,1.0,2.0,3.0,5.0,4.0,1.0
tabm,5.0,2.0,1.0,1.0,1.0,3.0,1.0
tabm-mini-piecewiselinear,4.0,1.0,1.0,1.0,1.0,2.0,2.0
tabm-piecewiselinear,3.0,1.0,1.0,1.0,1.0,2.0,1.0
